5	10958
56	125
24	83
64	41
9	42
9	42
17	41
8	84
5	41
17	83
25	208
18	41
8	42
2	0
13	0
8	41
2	42
29	42
8	42
2	41
8	42
7	42
8	42
5	0
8	41
5	42
25	42
18	42
13	0
29	42
32	42
32	0
512	458
48	0
12	0
9	41
9	0
128	0
32	250
8	41
16	84
12	83
13	41
8	84
3	41
12	42
8	41
3	42
8	42
4	42
8	42
4	42
8	0
4	83
12	41
192	125
13	125
1	42
12	41
13	125
64	0
10	84
11	42
8	84
3	0
6	42
8	42
3	0
12	41
8	41
2	42
20	0
8	42
2	42
8	42
4	42
8	42
6	83
8	0
4	42
8	41
5	41
8	42
16	42
32	42
64	83
36	41
8	42
4	41
8	42
4	42
8	42
4	41
18	42
8	0
4	84
8	41
16	42
8	42
16	42
8	42
16	42
32	42
31	42
8	42
4	41
8	42
4	83
8	42
16	83
32	3417
19	42
8	42
16	42
8	0
16	84
32	41
64	41
50	83
8	41
16	42
32	42
18	42
8	42
5	42
8	41
5	42
8	0
5	41
8	41
5	42
8	42
5	41
8	42
5	42
8	0
5	42
8	42
5	42
8	0
5	41
8	42
5	83
8	42
5	42
8	41
5	42
8	41
5	42
8	42
5	41
8	0
5	42
8	42
5	42
8	0
5	42
8	0
5	83
8	42
5	84
8	41
5	42
8	0
5	42
8	42
5	42
8	41
5	83
8	41
5	41
8	41
5	41
8	41
5	42
10	42
8	41
8	84
11	42
88	83
6	41
12	42
20	83
34	42
34	83
6	42
6	83
6	41
11	42
11	84
64	83
288	125
6	42
6	42
13	42
20	84
20	84
20	42
7	42
8	84
2	42
19	41
8	0
2	41
18	41
8	42
3	42
22	42
8	42
2	42
8	42
4	84
8	0
6	83
8	42
5	83
8	41
5	84
8	42
5	42
8	41
5	42
8	42
5	41
8	42
5	42
8	41
5	42
8	42
5	41
8	41
5	42
8	42
5	42
8	42
5	42
8	42
5	42
8	42
5	41
8	42
5	83
8	42
5	83
8	0
5	42
8	42
6	84
8	41
5	41
8	0
5	84
8	41
5	42
8	41
5	42
8	0
5	83
8	41
5	84
8	42
5	83
20	42
7	42
19	84
18	42
22	42
7	41
22	83
7	41
7	125
13	42
64	83
32	9292
22	84
16	83
15	41
25	83
13	42
20	41
25	41
21	42
13	42
17	42
18	41
18	41
19	42
23	42
30	42
18	41
19	0
20	42
22	42
19	0
14	42
15	0
14	0
18	83
15	41
24	84
18	0
19	42
20	42
13	83
16	41
24	41
25	0
17	0
12	41
20	83
21	42
13	41
18	41
23	41
13	41
16	0
19	41
16	84
25	41
30	42
13	41
8	42
18	42
21	83
16	83
16	42
16	41
17	42
13	42
13	125
14	42
23	0
26	41
26	42
26	41
